,bus,element,closed,from_ppci,to_ppci
542,2345,1410,True,2345,1410
543,91,1820,True,91,1820
544,2216,2416,True,2216,2416
545,224,3011,True,224,3011
546,1599,3416,False,1599,3416
547,1730,3564,True,1730,3564
548,1282,2241,True,1282,2241
549,272,789,False,272,789
550,2756,3250,True,2756,3250
551,2717,3586,False,2717,3586
552,3098,1937,False,3098,1937
553,3359,1401,True,3359,1401
554,3173,3269,False,3173,3269
555,3710,1972,True,3710,1972
556,3217,3147,True,3217,3147
557,2641,2370,True,2641,2370
558,1714,1426,True,1714,1426
559,1242,3600,True,1242,3600
560,242,2709,True,242,2709
561,1817,2060,True,1817,2060
562,2457,2513,True,2457,2513
563,966,1897,True,966,1897
564,1783,14,False,1783,14
565,3510,313,True,3510,313
566,824,2555,False,824,2555
567,471,75,True,471,75
568,1104,277,False,1104,277
569,1879,183,True,1879,183
570,359,2175,True,359,2175
571,2325,475,True,2325,475
572,2426,463,True,2426,463
573,1718,259,True,1718,259
574,846,1773,False,846,1773
575,3352,136,True,3352,136
576,444,724,False,444,724
577,2223,3539,True,2223,3539
578,360,134,True,360,134
579,1272,1957,True,1272,1957
580,1245,2958,True,1245,2958
581,2948,1364,True,2948,1364
582,2268,2946,True,2268,2946
583,2218,3769,False,2218,3769
584,3335,3119,True,3335,3119
585,1301,1498,True,1301,1498
586,1326,3714,False,1326,3714
587,1941,1898,True,1941,1898
588,2468,3210,True,2468,3210
589,3447,3248,True,3447,3248
590,3624,908,True,3624,908
591,1606,3238,True,1606,3238
592,3676,1529,True,3676,1529
593,1363,725,True,1363,725
594,3281,2514,True,3281,2514
595,1213,2031,True,1213,2031
596,3624,507,False,3624,507
597,1022,2825,True,1022,2825
598,919,2692,False,919,2692
599,2864,1401,False,2864,1401
600,143,2965,False,143,2965
601,412,2056,True,412,2056
602,1814,1743,False,1814,1743
603,1019,3702,False,1019,3702
604,745,2199,True,745,2199
605,1847,3424,True,1847,3424
606,3043,1369,False,3043,1369
607,2298,1251,True,2298,1251
608,743,548,True,743,548
609,141,1638,True,141,1638
610,2266,384,True,2266,384
611,1453,2921,True,1453,2921
612,2563,734,False,2563,734
613,2170,2083,True,2170,2083
614,2192,3374,True,2192,3374
615,3435,1140,True,3435,1140
616,1200,1650,True,1200,1650
617,997,737,True,997,737
618,2822,423,True,2822,423
619,272,1649,True,272,1649
620,421,2681,True,421,2681
621,2751,3120,True,2751,3120
622,704,1439,False,704,1439
623,1264,1614,True,1264,1614
624,3556,3329,True,3556,3329
625,1230,1401,False,1230,1401
626,1288,1214,False,1288,1214
627,1547,441,False,1547,441
628,66,3277,True,66,3277
629,2401,3002,False,2401,3002
630,2921,2647,True,2921,2647
631,1246,2428,True,1246,2428
632,1892,142,True,1892,142
633,2181,2943,False,2181,2943
634,2454,2596,True,2454,2596
635,934,1391,True,934,1391
636,2165,2616,True,2165,2616
637,2119,2136,True,2119,2136
638,988,258,True,988,258
639,756,1270,True,756,1270
640,341,2105,True,341,2105
641,895,2025,True,895,2025
642,1326,3718,False,1326,3718
643,1077,2936,True,1077,2936
644,1605,1181,False,1605,1181
645,3135,2824,True,3135,2824
646,2866,2523,True,2866,2523
647,739,1764,True,739,1764
648,861,1317,False,861,1317
649,3579,2966,True,3579,2966
650,1677,2056,True,1677,2056
651,1969,879,True,1969,879
652,3184,575,True,3184,575
653,2286,2069,True,2286,2069
654,1132,2262,True,1132,2262
655,2030,998,True,2030,998
656,1279,3626,False,1279,3626
657,306,3573,True,306,3573
658,130,1182,True,130,1182
659,3656,133,True,3656,133
660,3495,2436,False,3495,2436
661,2780,1611,False,2780,1611
662,1373,2561,False,1373,2561
663,142,1862,True,142,1862
664,2912,790,True,2912,790
665,1461,2965,False,1461,2965
666,2210,2273,True,2210,2273
667,1711,2847,True,1711,2847
668,1301,3091,True,1301,3091
669,101,225,False,101,225
670,1186,1304,True,1186,1304
671,1135,2518,True,1135,2518
672,1578,1970,True,1578,1970
673,3192,3214,False,3192,3214
674,3543,477,False,3543,477
675,295,460,False,295,460
676,2163,1114,True,2163,1114
677,986,1479,True,986,1479
678,2325,3311,True,2325,3311
679,245,2884,True,245,2884
680,2251,2452,True,2251,2452
681,3592,3602,False,3592,3602
682,456,477,False,456,477
683,812,604,False,812,604
684,3514,1408,True,3514,1408
685,2544,546,True,2544,546
686,1952,1713,True,1952,1713
687,1727,1559,True,1727,1559
688,2959,3373,True,2959,3373
689,1894,944,True,1894,944
690,3314,3753,False,3314,3753
691,359,1418,True,359,1418
692,846,1990,False,846,1990
693,3197,1995,False,3197,1995
694,3484,2615,True,3484,2615
695,3013,2861,True,3013,2861
696,1998,3609,True,1998,3609
697,1135,822,False,1135,822
698,171,3171,True,171,3171
699,1289,2515,True,1289,2515
700,3208,522,True,3208,522
701,782,3683,False,782,3683
702,40,604,False,40,604
703,3512,3475,True,3512,3475
704,1279,1869,True,1279,1869
705,582,99,True,582,99
706,3132,1552,False,3132,1552
707,2697,3501,False,2697,3501
708,1260,2555,True,1260,2555
709,2527,1995,False,2527,1995
710,3192,1866,True,3192,1866
711,3438,54,True,3438,54
712,2409,1133,True,2409,1133
713,2345,3224,True,2345,3224
714,2220,3702,False,2220,3702
715,3456,1013,True,3456,1013
716,422,441,False,422,441
717,1152,1971,False,1152,1971
718,422,2543,True,422,2543
719,2151,533,False,2151,533
720,1357,2492,True,1357,2492
721,1513,501,True,1513,501
722,2692,828,False,2692,828
723,3222,3761,False,3222,3761
724,1382,1472,True,1382,1472
725,3508,1635,True,3508,1635
726,3213,1874,True,3213,1874
727,1305,2214,True,1305,2214
728,3545,3002,False,3545,3002
729,1523,2690,True,1523,2690
730,494,2285,True,494,2285
731,3203,528,False,3203,528
732,2779,1685,True,2779,1685
733,1612,972,True,1612,972
734,1473,1630,False,1473,1630
735,3291,251,True,3291,251
736,997,724,False,997,724
737,2372,2769,True,2372,2769
738,3305,2055,True,3305,2055
739,524,3596,True,524,3596
740,1740,1277,True,1740,1277
741,2520,2706,True,2520,2706
742,3104,569,True,3104,569
