pp_idx,ppci_idx,name,vn_kv
339,61,CNN_0504201131020176515777_E_212,110.0
175,61,CNN_0504201131020176515777_E_212,110.0
2331,61,CNN_0504201131020176515777_E_212,110.0
344,62,CNN_0504190848360328552293_E_549,110.0
3038,62,CNN_0504190848360328552293_E_549,110.0
389,62,CNN_0504190848360328552293_E_549,110.0
347,63,CNN_459B_J_3360_80,20.0
964,63,CNN_459B_J_3360_20,20.0
3192,64,CNN_249K_E_3342_11,110.0
484,64,CNN_249K_E_3342_10,110.0
1072,64,CNN_249K_E_3342_13,110.0
3544,64,CNN_249K_E_3342_9,110.0
1866,64,CNN_249K_E_3342_4,110.0
2068,64,CNN_249K_E_3342_14,110.0
1700,64,CNN_249K_E_3342_15,110.0
2197,64,CNN_249K_E_3342_6,110.0
1880,64,CNN_249K_E_3342_17,110.0
220,64,CNN_249K_E_3342_1,110.0
69,64,CNN_249K_E_3342_8,110.0
353,64,CNN_249K_E_3342_12,110.0
1366,65,CNN_48U_E_5535_12,110.0
355,65,CNN_48U_E_5535_2,110.0
331,65,CNN_48U_E_5535_1,110.0
2326,65,CNN_48U_E_5535_9,110.0
883,65,CNN_48U_E_5535_11,110.0
3708,65,CNN_48U_E_5535_4,110.0
3249,65,CNN_48U_E_5535_5,110.0
80,65,CNN_48U_E_5535_8,110.0
943,66,CNN_69C_J_21253_1,10.0
364,66,CNN_69C_J_21253_14,10.0
2821,67,CNN_0505101434120013620720_E_284,110.0
368,67,CNN_0505101434120013620720_E_284,110.0
493,67,CNN_0505101434120013620720_E_284,110.0
372,68,CNN_55U_J_12896_18,3.0
2474,68,CNN_55U_J_12896_1,3.0
434,68,CNN_55U_J_12896_7,3.0
2726,69,CNN_0504161417290138751327_E_203,110.0
379,69,CNN_0504161417290138751327_E_203,110.0
3420,69,CNN_0504161417290138751327_E_203,110.0
2292,70,CNN_19U_E_5494_4,110.0
2495,70,CNN_19U_E_5494_9,110.0
285,70,CNN_19U_E_5494_13,110.0
3742,70,CNN_19U_E_5494_10,110.0
